run_id,num_stories,num_bays_x,num_bays_z,story_height,bay_width_x,bay_width_z,G_k,Q_k,W_k,total_height_m,delta_sway_mm,delta_sway_lim_mm,util_sway,sway_status,beam_M_u_kNm,col_P_u_kN,optimal_beam_sec,optimal_col_sec,beam_mass_kg_m,col_mass_kg_m,beam_util_pct,col_util_pct,total_steel_weight_kg
235,2,3,3,4.31,4.33,5.79,22.59,3.02,14.1,8.62,27.71,17.24,1.6073,Fail,160.29,739.6,UB 305x165x40,UC 254x254x89,40.5,89.0,93.26,86.18,22111.52
236,1,3,3,3.3,6.15,4.66,26.36,7.74,17.01,3.3,4.14,6.6,0.6278,Pass,181.76,536.97,UB 406x178x54,UC 203x203x60,54.3,60.0,99.41,96.55,10211.8
237,5,2,1,4.35,5.78,4.22,8.3,7.4,14.1,21.75,210.12,43.5,4.8304,Fail,668.45,884.81,UB 610x229x101,UC 305x305x118,101.2,118.0,84.4,164.55,33503.68
238,5,2,3,4.21,6.89,5.58,25.41,11.7,14.46,21.05,210.28,42.1,4.9949,Fail,713.99,3303.1,UB 610x229x101,UC 305x305x118,101.2,118.0,90.15,235.39,83108.84
239,1,2,2,4.05,6.16,4.24,27.36,14.82,11.8,4.05,8.31,8.1,1.0255,Fail,246.4,697.13,UB 457x191x67,UC 254x254x73,67.1,73.1,78.6,85.61,6851.53
240,3,2,1,4.15,7.06,7.91,21.15,7.46,24.82,12.45,144.35,24.9,5.7972,Fail,599.46,1347.91,UB 610x229x101,UC 305x305x118,101.2,118.0,75.69,164.79,24592.69
241,4,2,2,3.56,6.73,6.65,18.48,10.5,8.69,14.24,47.66,28.48,1.6733,Fail,286.24,2276.35,UB 457x191x67,UC 305x305x118,67.1,118.0,71.79,110.87,36670.03
242,2,3,2,3.79,6.91,4.89,5.09,2.3,7.46,7.58,10.99,15.16,0.7252,Pass,73.89,257.93,UB 305x165x40,UC 203x203x46,40.5,46.1,67.23,78.25,12399.37
243,5,2,3,3.57,4.92,5.84,8.88,4.45,21.88,17.85,151.7,35.7,4.2493,Fail,681.05,1107.59,UB 610x229x101,UC 305x305x118,101.2,118.0,85.99,175.09,71787.12
244,1,1,3,3.63,7.06,7.54,5.39,4.68,2.52,3.63,2.05,7.26,0.2823,Pass,78.96,166.65,UB 305x165x40,UC 203x203x46,40.5,46.1,97.71,53.93,4314.68
